objective_code,question_text,question_type,difficulty,answer_choices_json,correct_answer_key_json,hint,explanation,source
5.1,A document that defines acceptable and unacceptable uses of company computing resources by employees is called a(n):,multiple_choice,easy,"[{""id"": 1, ""text"": ""Information security policy"", ""order"": 1}, {""id"": 2, ""text"": ""Acceptable Use Policy (AUP)"", ""order"": 2}, {""id"": 3, ""text"": ""Business continuity plan"", ""order"": 3}, {""id"": 4, ""text"": ""Change management procedure"", ""order"": 4}]","{""correct_ids"": [2]}",This policy specifically governs how employees may USE company technology.,"An Acceptable Use Policy (AUP) defines what employees may and may not do with company technology resources — acceptable uses of the internet, email, devices, etc. It forms the foundation for disciplinary action when employees misuse resources and establishes the legal basis for monitoring. All employees typically must acknowledge it.",CompTIA Security+ SY0-701 Exam Objectives (7.0)
5.1,Who is responsible for classifying data and defining the security requirements for a specific dataset within an organization?,multiple_choice,medium,"[{""id"": 1, ""text"": ""Data custodian/steward"", ""order"": 1}, {""id"": 2, ""text"": ""Data processor"", ""order"": 2}, {""id"": 3, ""text"": ""Data owner"", ""order"": 3}, {""id"": 4, ""text"": ""Data controller"", ""order"": 4}]","{""correct_ids"": [3]}",This is the person who OWNS the data and is accountable for it — typically a business manager.,The data owner is the business unit or individual responsible for a dataset — they classify the data and define access requirements. The data custodian/steward implements the technical controls. A data processor processes data on behalf of a controller; a controller (GDPR term) determines purposes and means of processing.,CompTIA Security+ SY0-701 Exam Objectives (7.0)
5.1,Which governance structure type makes security decisions through consensus among a group of stakeholders rather than through a single authority?,multiple_choice,medium,"[{""id"": 1, ""text"": ""Centralized governance"", ""order"": 1}, {""id"": 2, ""text"": ""Decentralized governance"", ""order"": 2}, {""id"": 3, ""text"": ""Committee-based governance"", ""order"": 3}, {""id"": 4, ""text"": ""Board-level governance"", ""order"": 4}]","{""correct_ids"": [3]}",Think about which structure reaches decisions by deliberation and vote among a group rather than concentrating or distributing authority.,"SY0-701 objective 5.1 lists four distinct types of governance structures: Boards, Committees, Government entities, and Centralized/decentralized. These describe different dimensions: 'Boards' and 'Committees' describe HOW a body makes decisions (deliberation and consensus or vote among multiple stakeholders), while 'Centralized vs. decentralized' describes WHERE security decision authority sits in the organization (one central office vs. distributed across business units — each unit typically still has a single local authority, not a consensus process). The stem's key phrase 'consensus among a group of stakeholders' is the textbook definition of a committee-based structure. A board-level structure is similar but specifically refers to the organization's board of directors (typically the audit committee or risk committee), so it is a narrower term; committee-based is the better general fit for 'a group of stakeholders.'",CompTIA Security+ SY0-701 Exam Objectives (7.0)
5.2,"An organization calculates that a server rack has a 10% chance of flooding annually (ARO = 0.1) and that flooding would cause $200,000 in damage (SLE = $200,000). What is the Annualized Loss Expectancy (ALE)?",multiple_choice,medium,"[{""id"": 1, ""text"": ""$2,000,000"", ""order"": 1}, {""id"": 2, ""text"": ""$200,000"", ""order"": 2}, {""id"": 3, ""text"": ""$20,000"", ""order"": 3}, {""id"": 4, ""text"": ""$2,000"", ""order"": 4}]","{""correct_ids"": [3]}",ALE = SLE × ARO. Multiply the single-event loss by the annual frequency.,"ALE = SLE × ARO = $200,000 × 0.1 = $20,000. This means the expected annual cost of flood damage is $20,000. ALE is used to determine whether a control is cost-effective: if a flood prevention control costs less than $20,000/year, it's financially justified.",CompTIA Security+ SY0-701 Exam Objectives (7.0)
5.2,A company decides to purchase cyber liability insurance to offset the financial impact of a potential data breach. Which risk management strategy does this represent?,multiple_choice,easy,"[{""id"": 1, ""text"": ""Risk avoidance"", ""order"": 1}, {""id"": 2, ""text"": ""Risk mitigation"", ""order"": 2}, {""id"": 3, ""text"": ""Risk transfer"", ""order"": 3}, {""id"": 4, ""text"": ""Risk acceptance"", ""order"": 4}]","{""correct_ids"": [3]}",The risk still exists — but a third party (the insurer) bears the financial consequences.,"Risk transfer shifts the financial impact of a risk to a third party — typically through insurance or contractual indemnification. The risk itself isn't eliminated (a breach can still occur), but the financial burden is shared. Risk avoidance eliminates the activity; mitigation reduces likelihood/impact; acceptance acknowledges the risk without action.",CompTIA Security+ SY0-701 Exam Objectives (7.0)
5.2,Which of the following BEST describes the difference between risk tolerance and risk appetite?,multiple_choice,hard,"[{""id"": 1, ""text"": ""They are synonymous terms used interchangeably in risk management"", ""order"": 1}, {""id"": 2, ""text"": ""Risk appetite is the strategic level of risk an organization is willing to accept; risk tolerance is the acceptable variation around that threshold"", ""order"": 2}, {""id"": 3, ""text"": ""Risk tolerance applies to individual risks; risk appetite applies to regulatory requirements"", ""order"": 3}, {""id"": 4, ""text"": ""Risk appetite is quantitative; risk tolerance is qualitative"", ""order"": 4}]","{""correct_ids"": [2]}",Appetite is the strategic 'how much risk are we willing to take'; tolerance is 'how far can we deviate from that'.,"Risk appetite is the organization's strategic, high-level statement of how much risk it is willing to accept in pursuit of objectives. Risk tolerance is the acceptable deviation from risk appetite — the operational boundaries. For example, appetite: 'we accept moderate cyber risk'; tolerance: 'we will not accept any risk of regulatory non-compliance.'",CompTIA Security+ SY0-701 Exam Objectives (7.0)
5.3,"A contract clause that gives a company the right to examine a vendor's security controls, audit logs, and compliance documentation is called a:",multiple_choice,medium,"[{""id"": 1, ""text"": ""Non-disclosure agreement (NDA)"", ""order"": 1}, {""id"": 2, ""text"": ""Right-to-audit clause"", ""order"": 2}, {""id"": 3, ""text"": ""Memorandum of Understanding (MOU)"", ""order"": 3}, {""id"": 4, ""text"": ""Service-level agreement (SLA)"", ""order"": 4}]","{""correct_ids"": [2]}",This clause specifically grants the customer the right to examine the vendor's practices.,"A right-to-audit clause in a vendor contract explicitly grants the customer the right to examine the vendor's security controls, audit logs, and compliance posture. It is a critical third-party risk management tool because it provides accountability and verification that the vendor is meeting their security obligations.",CompTIA Security+ SY0-701 Exam Objectives (7.0)
5.3,Which agreement type defines the performance metrics and penalties that apply when a service provider fails to meet specified service levels?,multiple_choice,easy,"[{""id"": 1, ""text"": ""Memorandum of Agreement (MOA)"", ""order"": 1}, {""id"": 2, ""text"": ""Non-disclosure Agreement (NDA)"", ""order"": 2}, {""id"": 3, ""text"": ""Service-Level Agreement (SLA)"", ""order"": 3}, {""id"": 4, ""text"": ""Business Partners Agreement (BPA)"", ""order"": 4}]","{""correct_ids"": [3]}",This agreement specifically measures service quality and defines remedies for underperformance.,"A Service-Level Agreement (SLA) defines specific measurable metrics (uptime %, response times, support hours) and the consequences (credits, penalties) when the provider fails to meet them. MOAs establish mutual obligations; NDAs protect confidential information; BPAs govern the overall partner relationship.",CompTIA Security+ SY0-701 Exam Objectives (7.0)
5.4,A company that processes payment card data must comply with which industry standard that defines security requirements for cardholder data protection?,multiple_choice,easy,"[{""id"": 1, ""text"": ""GDPR"", ""order"": 1}, {""id"": 2, ""text"": ""HIPAA"", ""order"": 2}, {""id"": 3, ""text"": ""PCI DSS"", ""order"": 3}, {""id"": 4, ""text"": ""SOC 2"", ""order"": 4}]","{""correct_ids"": [3]}",This standard was created by the major credit card companies specifically for payment card security.,"PCI DSS (Payment Card Industry Data Security Standard) is a set of security requirements for organizations that process, store, or transmit payment card data. It was created by the PCI Security Standards Council (Visa, Mastercard, Amex, Discover, JCB). GDPR covers personal data privacy; HIPAA covers healthcare data; SOC 2 covers service organization controls.",CompTIA Security+ SY0-701 Exam Objectives (7.0)
5.4,The 'right to be forgotten' (right to erasure) is a privacy right provided by which regulation?,multiple_choice,easy,"[{""id"": 1, ""text"": ""HIPAA"", ""order"": 1}, {""id"": 2, ""text"": ""PCI DSS"", ""order"": 2}, {""id"": 3, ""text"": ""GDPR"", ""order"": 3}, {""id"": 4, ""text"": ""FISMA"", ""order"": 4}]","{""correct_ids"": [3]}",This regulation applies to EU residents and their personal data.,The GDPR (General Data Protection Regulation) grants EU data subjects the right to erasure ('right to be forgotten') — the ability to request that an organization delete their personal data under certain circumstances. HIPAA governs US healthcare data; PCI DSS governs payment cards; FISMA governs US federal agency information security.,CompTIA Security+ SY0-701 Exam Objectives (7.0)
